path,status,seconds,note
/home/matt/gits/fg_03-5_zhobin_eye_vs_mouse_input_device/analysis/dissertation-forensics/build-dissertation-forensics.R,pass,29,
/home/matt/gits/fg_03-5_zhobin_eye_vs_mouse_input_device/analysis/target-native-reconstruction/build-target-native-tables.R,pass,15,rerun from repo root
/home/matt/gits/fg_06_ellie_fixed_forest_spatial_memory/analysis/process-vocabulary/build-process-vocabulary.R,pass,8,
/home/matt/gits/fg_09_online_forest_stability_rerun/analysis/process-vocabulary/build-process-vocabulary.R,pass,17,
